"Catégorie","Produit","Lieu ","Prix moyen","Disponibilité","Evolution du prix","Zone de disponibilité","Date"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME BETE BETE (kg)","ABIDJAN",300,"Bonne","bas et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME KLEGLE (kg)","ABIDJAN",500,"Moyen","dents de scie",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POMME DE TERRE (kg)","ABIDJAN",500,"Bonne","Moyen et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AVOCAT (kg)","ABIDJAN",350,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","MANGUES","ABIDJAN",400,"Bonne",,,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POULET DE CHAIR (kg)","ABIDJAN",2000,"moyenne","hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON BLANC  (kg)","ABIDJAN",500,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON VIOLET - NIGER-BF (kg)","ABIDJAN",500,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","TOMATE TYPE SALADE  (kg)","ABIDJAN",600,"Moyen","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GOMBO (kg)","ABIDJAN",400,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AUBERGINE N'DROWA  (kg)","ABIDJAN",300,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CAROTTE (kg)","ABIDJAN",900,"Moyen","Moyen",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POIVRON (kg)","ABIDJAN",600,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CONCOMBRE (kg)","ABIDJAN",300,"moyenne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","COURGETTE (kg)","ABIDJAN",250,"Bonne","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CHOU (kg)","ABIDJAN",400,"En hausse","En hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GRAINE DE PALME  (kg)","ABIDJAN",300,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME BETE BETE (kg)","SAN-PÉDRO",300,"Bonne","bas et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME KLEGLE (kg)","SAN-PÉDRO",400,"Moyen","dents de scie",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POMME DE TERRE (kg)","SAN-PÉDRO",500,"Bonne","Moyen et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AVOCAT (kg)","SAN-PÉDRO",400,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","MANGUES","SAN-PÉDRO",,"Bonne",,,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POULET DE CHAIR (kg)","SAN-PÉDRO",2100,"moyenne","hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON BLANC  (kg)","SAN-PÉDRO",500,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON VIOLET - NIGER-BF (kg)","SAN-PÉDRO",500,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","TOMATE TYPE SALADE  (kg)","SAN-PÉDRO",600,"Moyen","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GOMBO (kg)","SAN-PÉDRO",400,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AUBERGINE N'DROWA  (kg)","SAN-PÉDRO",300,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CAROTTE (kg)","SAN-PÉDRO",1000,"Moyen","Moyen",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POIVRON (kg)","SAN-PÉDRO",800,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CONCOMBRE (kg)","SAN-PÉDRO",350,"moyenne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","COURGETTE (kg)","SAN-PÉDRO",250,"Bonne","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CHOU (kg)","SAN-PÉDRO",400,"En hausse","En hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GRAINE DE PALME  (kg)","SAN-PÉDRO",200,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME BETE BETE (kg)","BOUAKÉ",300,"Bonne","bas et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME KLEGLE (kg)","BOUAKÉ",500,"Moyen","dents de scie",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POMME DE TERRE (kg)","BOUAKÉ",500,"Bonne","Moyen et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AVOCAT (kg)","BOUAKÉ",300,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","MANGUES","BOUAKÉ",,"Bonne",,,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POULET DE CHAIR (kg)","BOUAKÉ",2200,"moyenne","hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON BLANC  (kg)","BOUAKÉ",450,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON VIOLET - NIGER-BF (kg)","BOUAKÉ",450,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","TOMATE TYPE SALADE  (kg)","BOUAKÉ",800,"Moyen","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GOMBO (kg)","BOUAKÉ",500,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AUBERGINE N'DROWA  (kg)","BOUAKÉ",200,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CAROTTE (kg)","BOUAKÉ",1300,"Moyen","Moyen",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POIVRON (kg)","BOUAKÉ",700,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CONCOMBRE (kg)","BOUAKÉ",350,"moyenne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","COURGETTE (kg)","BOUAKÉ",350,"Bonne","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CHOU (kg)","BOUAKÉ",350,"En hausse","En hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GRAINE DE PALME  (kg)","BOUAKÉ",500,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME BETE BETE (kg)","YAKRO",350,"Bonne","bas et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME KLEGLE (kg)","YAKRO",600,"Moyen","dents de scie",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POMME DE TERRE (kg)","YAKRO",500,"Bonne","Moyen et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AVOCAT (kg)","YAKRO",400,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","MANGUES","YAKRO",,"Bonne",,,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POULET DE CHAIR (kg)","YAKRO",2200,"moyenne","hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON BLANC  (kg)","YAKRO",400,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON VIOLET - NIGER-BF (kg)","YAKRO",500,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","TOMATE TYPE SALADE  (kg)","YAKRO",500,"Moyen","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GOMBO (kg)","YAKRO",500,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AUBERGINE N'DROWA  (kg)","YAKRO",500,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CAROTTE (kg)","YAKRO",1500,"Moyen","Moyen",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POIVRON (kg)","YAKRO",1500,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CONCOMBRE (kg)","YAKRO",400,"moyenne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","COURGETTE (kg)","YAKRO",500,"Bonne","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CHOU (kg)","YAKRO",600,"En hausse","En hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GRAINE DE PALME  (kg)","YAKRO",150,"Moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME BETE BETE (kg)","MAN",300,"Bonne","bas et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","IGNAME KLEGLE (kg)","MAN",,"Moyen","dents de scie",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POMME DE TERRE (kg)","MAN",600,"Bonne","Moyen et stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AVOCAT (kg)","MAN",200,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","MANGUES","MAN",300,"Bonne",,,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","POULET DE CHAIR (kg)","MAN",2200,"moyenne","hausse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON BLANC  (kg)","MAN",500,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","OIGNON VIOLET - NIGER-BF (kg)","MAN",400,"Bonne","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","TOMATE TYPE SALADE  (kg)","MAN",800,"Moyen","Baisse",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","GOMBO (kg)","MAN",350,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","AUBERGINE N'DROWA  (kg)","MAN",300,"moyen","stable",,"2022-07-03"
"LES BONS CRENEAUX DE LA PERIODE","CAROTTE (kg)","MAN",1200,"Moyen","Moyen",,"2022-07-03"
